name,id,date,date_only
Jonko,RE2008CYP-A-RE1-002,2011-04-18 17:38:07,2011-04-18
Jonko,RE2008CYP-A-RE1-005,2011-04-18 17:38:12,2011-04-18
Jonko,RE2008CYP-A-RE1-010,2011-04-18 17:39:01,2011-04-18
Jonko,RE2008CYP-A-RE1-020,2011-04-18 17:38:56,2011-04-18
Jonko,RE2008CYP-A-RE1-050,2011-04-18 17:38:52,2011-04-18
Jonko,RE2008CYP-A-RE1-100,2011-04-18 17:38:25,2011-04-18
Jonko,RE2008CYP-A-RE1-200,2011-01-19 21:16:53,2011-01-19
Jonko,RE1999FIN-A-RE1-005,2012-05-12 11:21:53,2012-05-12
Jonko,RE1999FIN-A-RE1-010,2013-01-04 10:32:47,2013-01-04
Jonko,RE1999FIN-A-RE1-020,2011-05-17 11:14:26,2011-05-17
Jonko,RE1999FIN-A-RE1-050,2012-06-18 10:43:04,2012-06-18
Jonko,RE1999FIN-A-RE1-100,2011-06-13 15:59:47,2011-06-13
Jonko,RE1999FIN-A-RE1-200,2011-06-25 13:51:55,2011-06-25
Jonko,RE2007FIN-A-RE2-001,2011-04-18 17:41:38,2011-04-18
Jonko,RE2007FIN-A-RE2-002,2011-04-18 17:41:43,2011-04-18
Jonko,RE2007FIN-A-RE2-005,2011-04-18 17:41:47,2011-04-18
Jonko,RE2007FIN-A-RE2-010,2011-04-18 17:41:52,2011-04-18
Jonko,RE2007FIN-A-RE2-020,2011-04-18 17:41:59,2011-04-18
Jonko,RE2007FIN-A-RE2-050,2011-04-18 17:42:03,2011-04-18
Jonko,RE2007FIN-A-RE2-100,2011-04-18 17:42:07,2011-04-18
Jonko,RE2007FIN-A-RE2-200,2011-04-18 17:42:11,2011-04-18
Jonko,RE1999FRA-A-RE1-001,2010-10-21 00:00:01,2010-10-21
Jonko,RE1999FRA-A-RE1-002,2010-10-21 00:00:01,2010-10-21
Jonko,RE1999FRA-A-RE1-005,2010-10-21 00:00:01,2010-10-21
Jonko,RE1999FRA-A-RE1-010,2010-10-21 00:00:01,2010-10-21
Jonko,RE1999FRA-A-RE1-020,2010-10-21 00:00:01,2010-10-21
Jonko,RE1999FRA-A-RE1-050,2010-10-25 23:49:36,2010-10-25
Jonko,RE1999FRA-A-RE1-100,2010-11-10 11:02:21,2010-11-10
Jonko,RE1999FRA-A-RE1-200,2010-10-21 00:00:01,2010-10-21
Jonko,RE1999DEU-A-RE1-001,2010-10-25 00:03:26,2010-10-25
Jonko,RE1999DEU-A-RE1-002,2010-11-01 11:13:11,2010-11-01
Jonko,RE1999DEU-A-RE1-005,2010-10-25 00:04:13,2010-10-25
Jonko,RE1999DEU-A-RE1-010,2010-10-21 00:00:01,2010-10-21
Jonko,RE1999DEU-A-RE1-020,2010-10-21 00:00:01,2010-10-21
Jonko,RE1999DEU-A-RE1-050,2010-10-21 00:00:01,2010-10-21
Jonko,RE1999DEU-A-RE1-100,2010-10-22 23:17:06,2010-10-22
Jonko,RE1999DEU-A-RE1-200,2010-10-21 00:00:01,2010-10-21
Jonko,RE2002GRC-A-RE1-001,2010-10-21 00:00:01,2010-10-21
Jonko,RE2002GRC-A-RE1-002,2010-10-25 09:49:21,2010-10-25
Jonko,RE2002GRC-A-RE1-005,2010-10-21 00:00:01,2010-10-21
Jonko,RE2002GRC-A-RE1-010,2010-10-21 00:00:01,2010-10-21
Jonko,RE2002GRC-A-RE1-020,2010-10-21 00:00:01,2010-10-21
Jonko,RE2002GRC-A-RE1-050,2010-10-21 00:00:01,2010-10-21
Jonko,RE2002GRC-A-RE1-100,2010-10-21 00:00:01,2010-10-21
Jonko,RE2002GRC-A-RE1-200,2010-11-22 11:11:03,2010-11-22
Jonko,RE2002IRL-A-RE1-001,2011-04-18 17:42:52,2011-04-18
Jonko,RE2002IRL-A-RE1-002,2011-04-18 17:42:58,2011-04-18
Jonko,RE2002IRL-A-RE1-005,2011-04-18 17:43:03,2011-04-18
Jonko,RE2002IRL-A-RE1-010,2011-04-18 17:43:09,2011-04-18
Jonko,RE2002IRL-A-RE1-020,2011-04-18 17:43:13,2011-04-18
Jonko,RE2002IRL-A-RE1-050,2010-10-30 21:28:16,2010-10-30
Jonko,RE2002IRL-A-RE1-100,2011-03-22 13:29:18,2011-03-22
Jonko,RE2002IRL-A-RE1-200,2011-03-28 14:20:32,2011-03-28
Jonko,RE1999ITA-A-RE1-001,2010-11-22 10:53:07,2010-11-22
Jonko,RE1999ITA-A-RE1-002,2010-10-21 00:00:01,2010-10-21
Jonko,RE1999ITA-A-RE1-005,2010-11-22 10:51:43,2010-11-22
Jonko,RE1999ITA-A-RE1-010,2010-10-21 00:00:01,2010-10-21
Jonko,RE1999ITA-A-RE1-020,2010-10-21 00:00:01,2010-10-21
Jonko,RE1999ITA-A-RE1-050,2010-10-21 00:00:01,2010-10-21
Jonko,RE1999ITA-A-RE1-100,2010-10-21 00:00:01,2010-10-21
Jonko,RE1999ITA-A-RE1-200,2010-10-21 00:00:01,2010-10-21
