type,year,country,series,value,id,image,feature,volume
CC,2016,Spain,CC-2016,2.0,CC2016ESP-A-CC1-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2016/comm_2016_spain.jpg,Unesco’s World Cultural and and Natural Heritage Sites – Segovia,8 million coins
CC,2016,Austria,CC-2016,2.0,CC2016AUT-A-CC1-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2016/comm_2016_austria.jpg,200 years of Oesterreichische Nationalbank,16 million coins
CC,2016,Estonia,CC-2016,2.0,CC2016EST-A-CC1-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2016/comm_2016_estonia.jpg,100th anniversary of the birth of the famous Estonian chess grandmaster Paul Keres,500 000 coins
CC,2016,Ireland,CC-2016,2.0,CC2016IRL-A-CC1-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2016/comm_2016_ireland.jpg,100 years since the 1916 Easter Rising in Ireland,4.5 million coins
CC,2017,Andorra,CC-2017,2.0,CC2017AND-A-CC2-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2017/comm_2017_Andorra_pyrenean.jpg,Andorra – The Pyrenean country,85 000 coins
CC,2017,Andorra,CC-2017,2.0,CC2017AND-A-CC1-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2017/comm_2017_Andorra_100years.jpg,100 years of the anthem of Andorra,85 000 coins
CC,2017,Malta,CC-2017,2.0,CC2017MLT-A-CC1-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2017/comm_2017_Malta_Solidarity.jpg,Solidarity and peace,380 000 coins
CC,2017,Malta,CC-2017,2.0,CC2017MLT-A-CC2-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2017/comm_2017_Malta_Hagar_Qim.jpg,Unesco World Heritage Site,405 000 coins
CC,2017,Monaco,CC-2017,2.0,CC2017MCO-A-CC1-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2017/comm_2017_Monaco_Carabiniers.jpg,Carabiniers du Prince (‘Carabiniers’ of the Prince),15 000 coins
CC,2017,Portugal,CC-2017,2.0,CC2017PRT-A-CC2-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2017/comm_2017_Portugal_Brandao.jpg,150 years of the birth of writer Raul Brandão,520 000 coins
CC,2017,Portugal,CC-2017,2.0,CC2017PRT-A-CC1-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2017/comm_2017_Portugal_public_security.jpg,150 Years of Public Security,520 000 coins
CC,2017,Latvia,CC-2017,2.0,CC2017LVA-A-CC2-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2017/comm_2017_Latvia_Latgale.jpg,Latgale,530 000 coins
CC,2017,Latvia,CC-2017,2.0,CC2017LVA-A-CC1-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2017/comm_2017_Latvia_Kurzeme.jpg,Kurzeme,530 000 coins
CC,2017,Luxembourg,CC-2017,2.0,CC2017LUX-A-CC2-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2017/comm_2017_Luxembourg_GrandDuke.jpg,The 200th anniversary of the Grand Duke Guillaume III,500 000 coins
CC,2017,Luxembourg,CC-2017,2.0,CC2017LUX-A-CC1-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2017/comm_2017_luxembourg_anniversary.jpg,The 50th anniversary of the voluntariness of the Luxembourg army,500 000 coins
CC,2017,Vatican City,CC-2017,2.0,CC2017VAT-A-CC1-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2017/comm_2017_Vatican_Fatima.jpg,Centenary of the Fatima apparitions,105 000 coins
CC,2017,Vatican City,CC-2017,2.0,CC2017VAT-A-CC2-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2017/comm_2017_Vatican_Saint_Peter_Saint_Paul.jpg,1950th anniversary of the martyrdom of Saint Peter and Saint Paul,105 000 coins
CC,2017,Finland,CC-2017,2.0,CC2017FIN-A-CC2-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2017/comm_2017_Finland_Nature.jpg,The Finnish nature,500 000 coins
CC,2017,Finland,CC-2017,2.0,CC2017FIN-A-CC1-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2017/comm_2017_finland_independence.jpg,Independent Finland 100 years,2.5 million coins
CC,2017,Cyprus,CC-2017,2.0,CC2017CYP-A-CC1-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2017/comm_2017_Cyprus_Paphos.jpg,Paphos 2017 – European Capital of Culture,430 000 coins
CC,2017,France,CC-2017,2.0,CC2017FRA-A-CC2-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2017/comm_2017_France_pink_ribbon.jpg,"25th anniversary of the pink ribbon, symbol of the fight against breast cancer","The design represents a woman’s bust symbolically protected by a hand and the ribbon. It is surrounded, at the right side, by the inscription ‘25e ANNIVERSAIRE DU RUBAN ROSE’ (25th anniversary of the pink ribbon). The right side also features the years ‘1992 – 2017’, the indication of the issuing country ‘RF’ and the mintmarks. The coin’s outer ring bears the 12 stars of the European Union."
CC,2017,France,CC-2017,2.0,CC2017FRA-A-CC1-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2017/comm_2017_france_centenary.jpg,Centenary of Auguste Rodin,10 million coins
CC,2017,Belgium,CC-2017,2.0,CC2017BEL-A-CC2-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2017/comm_2017_Belgium_Ghent.jpg,200th anniversary of the Ghent University,200 000 coins
CC,2017,Belgium,CC-2017,2.0,CC2017BEL-A-CC1-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2017/comm_2017_belgium_liege.jpg,200th anniversary of the University of Liège,200 000 coins
